order_id,order_date,product,category,quantity,unit_price,discount,payment_method,country,status,total
46,2026-06-04,Coffee Beans,Food,1.0,13.5,0.0,Cash,Austria,Completed,13.5
47,2026-07-24,Wireless Mouse,Electronics,2.0,18.9,0.2,Cash,Austria,Cancelled,30.24
48,2026-05-12,Coffee Beans,Food,5.0,13.5,0.2,Card,Slovakia,Refunded,54.0
49,2026-05-19,Sneakers,Clothing,8.0,79.9,0.1,Cash,Germany,Completed,575.2800000000001
50,2026-07-13,T-Shirt,Clothing,2.0,19.99,0.1,Bank Transfer,Germany,Cancelled,35.982
51,2026-07-24,Coffee Beans,Food,1.0,13.5,0.15,Bank Transfer,Slovakia,Refunded,11.475
52,2026-01-30,Wireless Mouse,Electronics,2.0,18.9,0.0,Paypal,Slovakia,Cancelled,37.8
53,2026-02-10,Laptop Stand,Electronics,5.0,34.5,0.2,Paypal,Czechia,Completed,138.0
54,2026-08-01,Mechanical Keyboard,Electronics,1.0,64.9,0.0,Bank Transfer,Germany,Completed,64.9
55,2026-05-21,Usb-C Cable,Electronics,1.0,9.9,0.1,Card,Slovakia,Pending,8.91
56,2026-05-21,Water Bottle,Home,2.0,12.5,0.1,Bank Transfer,Austria,Refunded,22.5
57,2026-12-06,Usb-C Cable,Electronics,5.0,9.9,0.05,Paypal,Czechia,Cancelled,47.025
58,2026-01-08,Notebook,Office,8.0,4.2,0.0,Bank Transfer,Germany,Pending,33.6
59,2026-06-05,Laptop Stand,Electronics,2.0,34.5,0.0,Paypal,Germany,Pending,69.0
60,2026-03-24,Mechanical Keyboard,Electronics,4.0,64.9,0.0,Bank Transfer,Czechia,Completed,259.6
61,2026-03-30,Usb-C Cable,Electronics,,9.9,0.0,Cash,Slovakia,Refunded,
62,2026-01-16,Mechanical Keyboard,Electronics,5.0,64.9,,Paypal,Germany,Cancelled,
63,2026-07-25,Notebook,Office,2.0,4.2,0.2,Paypal,Czechia,Pending,6.720000000000001
64,2026-05-16,Hoodie,Clothing,8.0,44.9,0.0,Paypal,Poland,Completed,359.2
65,2026-03-21,T-Shirt,Clothing,2.0,19.99,0.0,Card,Austria,Pending,39.98
66,2026-07-30,Mechanical Keyboard,Electronics,3.0,64.9,0.2,,Germany,Cancelled,155.76000000000002
67,2026-05-20,Wireless Mouse,Electronics,2.0,18.9,0.1,Card,Czechia,Cancelled,34.019999999999996
68,2026-01-27,Hoodie,Clothing,8.0,44.9,0.05,Card,Poland,Pending,341.23999999999995
69,2026-07-17,T-Shirt,Clothing,1.0,19.99,0.2,Bank Transfer,Germany,Cancelled,15.991999999999999
70,2026-04-16,Mechanical Keyboard,Electronics,5.0,64.9,0.1,Paypal,Germany,Pending,292.05
71,2026-08-15,Coffee Beans,Food,2.0,13.5,0.0,Card,Slovakia,Refunded,27.0
72,2026-06-26,Mechanical Keyboard,Electronics,8.0,64.9,0.0,Cash,Germany,Cancelled,519.2
73,2026-08-21,Desk Lamp,Office,5.0,27.8,0.0,Cash,Austria,Cancelled,139.0
74,2026-07-02,Backpack,Accessories,4.0,39.9,0.2,Card,Slovakia,Cancelled,127.68
75,2026-06-17,Water Bottle,Home,1.0,12.5,0.0,Cash,Austria,Completed,12.5
76,2026-06-23,Wireless Mouse,Electronics,3.0,18.9,0.2,Paypal,Germany,Refunded,45.36
77,2026-08-27,Wireless Mouse,Electronics,4.0,,0.05,Card,Austria,Completed,
78,2026-03-01,Laptop Stand,Electronics,5.0,34.5,0.15,Card,Czechia,Refunded,146.625
79,2026-07-04,Laptop Stand,Electronics,1.0,34.5,0.05,Bank Transfer,Slovakia,Refunded,32.775
80,2026-06-09,Laptop Stand,Electronics,2.0,34.5,0.0,Paypal,Germany,Refunded,69.0
81,2026-11-05,Mechanical Keyboard,Electronics,4.0,64.9,0.1,Paypal,Poland,Refunded,233.64000000000001
82,2026-06-23,Hoodie,Clothing,2.0,44.9,0.0,Bank Transfer,Slovakia,Cancelled,89.8
83,,Mechanical Keyboard,Electronics,3.0,64.9,0.05,Card,Austria,Completed,184.965
84,2026-07-25,Wireless Mouse,Electronics,2.0,18.9,0.2,Cash,Germany,Pending,30.24
85,2026-03-20,Water Bottle,Home,1.0,12.5,0.0,,Slovakia,Cancelled,12.5
86,2026-02-20,Notebook,Office,1.0,4.2,0.05,Paypal,Czechia,Refunded,3.9899999999999998
87,2026-06-01,Usb-C Cable,Electronics,5.0,9.9,,Bank Transfer,Germany,Pending,
88,2026-05-04,T-Shirt,Clothing,4.0,19.99,0.0,Card,Slovakia,Completed,79.96
89,2026-04-12,Laptop Stand,Electronics,3.0,34.5,0.0,Paypal,Germany,Pending,103.5
90,,Coffee Beans,Food,1.0,13.5,0.05,Cash,Germany,Refunded,12.825
91,2026-11-07,Usb-C Cable,Electronics,1.0,9.9,0.0,Bank Transfer,Slovakia,Refunded,9.9
92,2026-03-01,Hoodie,Clothing,8.0,,0.05,Bank Transfer,Czechia,Cancelled,
93,2026-07-31,Laptop Stand,Electronics,5.0,34.5,0.1,Cash,Germany,Refunded,155.25
94,2026-02-24,Wireless Mouse,Electronics,1.0,,0.0,Paypal,Austria,Refunded,
95,2026-07-07,Desk Lamp,Office,1.0,27.8,0.0,Card,Germany,Pending,27.8
96,2026-04-17,Laptop Stand,Electronics,3.0,34.5,0.0,Bank Transfer,Austria,Cancelled,103.5
97,2026-03-31,Wireless Mouse,Electronics,1.0,18.9,0.0,Card,Slovakia,Completed,18.9
98,2026-05-16,Mechanical Keyboard,Electronics,1.0,64.9,0.2,Cash,Slovakia,Refunded,51.92000000000001
99,2026-05-06,Coffee Beans,Food,4.0,13.5,0.0,Paypal,Germany,Refunded,54.0
100,2026-08-19,Water Bottle,Home,2.0,12.5,0.2,Card,Slovakia,Refunded,20.0
101,2026-04-11,Wireless Mouse,Electronics,2.0,18.9,0.1,Bank Transfer,Germany,Completed,34.019999999999996
102,2026-06-09,Backpack,Accessories,1.0,39.9,0.0,Paypal,Poland,Cancelled,39.9
103,2026-08-24,Water Bottle,Home,4.0,12.5,0.15,Card,Germany,Cancelled,42.5
104,2026-02-16,Water Bottle,Home,1.0,12.5,0.2,,Austria,Refunded,10.0
105,2026-01-06,Backpack,Accessories,4.0,39.9,0.15,Card,Slovakia,Pending,135.66
106,2026-01-14,Backpack,Accessories,8.0,39.9,0.0,Paypal,Slovakia,Cancelled,319.2
107,2026-10-02,Backpack,Accessories,5.0,39.9,0.1,Card,Poland,Completed,179.55
108,2026-05-17,Desk Lamp,Office,1.0,27.8,0.0,Card,Slovakia,Pending,27.8
109,2026-11-03,Mechanical Keyboard,Electronics,1.0,64.9,0.1,Paypal,Czechia,Cancelled,58.410000000000004
110,2026-05-09,Desk Lamp,Office,5.0,27.8,0.1,Cash,,Completed,125.10000000000001
111,2026-06-06,Mechanical Keyboard,Electronics,2.0,64.9,0.0,Bank Transfer,Germany,Completed,129.8
112,2026-05-20,Desk Lamp,Office,1.0,27.8,,Card,Czechia,Completed,
113,2026-06-14,Hoodie,Clothing,3.0,44.9,0.2,Paypal,Czechia,Completed,107.75999999999999
114,2026-06-21,Backpack,Accessories,3.0,39.9,0.15,Cash,Austria,Pending,101.74499999999999
115,2026-07-31,T-Shirt,Clothing,8.0,19.99,0.1,Card,Poland,Cancelled,143.928
116,2026-03-25,Mechanical Keyboard,Electronics,4.0,64.9,0.1,Bank Transfer,Slovakia,Cancelled,233.64000000000001
117,2026-05-17,Usb-C Cable,Electronics,3.0,9.9,0.0,Bank Transfer,Poland,Refunded,29.700000000000003
118,2026-04-17,Coffee Beans,Food,2.0,13.5,0.0,Paypal,Austria,Completed,27.0
119,2026-08-16,Water Bottle,Home,2.0,12.5,0.15,Paypal,Austria,Completed,21.25
120,2026-02-28,Water Bottle,Home,3.0,12.5,0.05,Card,Poland,Pending,35.625
121,2026-06-26,Mechanical Keyboard,Electronics,5.0,64.9,0.0,Bank Transfer,Germany,Refunded,324.5
122,2026-02-10,T-Shirt,Clothing,1.0,19.99,0.2,Bank Transfer,Germany,Refunded,15.991999999999999
123,2026-03-28,Desk Lamp,Office,3.0,27.8,0.05,Paypal,Germany,Completed,79.23
124,2026-07-18,Water Bottle,Home,1.0,12.5,0.0,Bank Transfer,Austria,Refunded,12.5
125,2026-07-16,Usb-C Cable,Electronics,1.0,9.9,0.0,Bank Transfer,,Cancelled,9.9
126,2026-02-24,Water Bottle,Home,1.0,12.5,0.1,Cash,Slovakia,Refunded,11.25
127,2026-04-14,T-Shirt,Clothing,5.0,,0.0,Paypal,Germany,Cancelled,
128,2026-02-27,Backpack,Accessories,5.0,39.9,0.0,Cash,Germany,Cancelled,199.5
129,2026-02-24,Mechanical Keyboard,Electronics,2.0,64.9,0.2,Cash,Poland,Completed,103.84000000000002
130,,Notebook,Office,1.0,4.2,0.2,Bank Transfer,Austria,Refunded,3.3600000000000003
131,2026-06-23,Mechanical Keyboard,Electronics,1.0,64.9,0.2,Paypal,Slovakia,Refunded,51.92000000000001
132,2026-05-29,Water Bottle,Home,3.0,12.5,,Bank Transfer,Germany,Completed,
133,2026-02-13,Backpack,Accessories,1.0,39.9,0.15,Cash,Poland,Pending,33.915
134,2026-07-27,Wireless Mouse,Electronics,3.0,18.9,0.2,Card,Germany,Completed,45.36
135,2026-06-03,Sneakers,Clothing,3.0,79.9,0.0,Bank Transfer,Poland,Pending,239.70000000000002
136,2026-01-03,T-Shirt,Clothing,5.0,19.99,0.0,Cash,Germany,Cancelled,99.94999999999999
137,2026-01-30,Laptop Stand,Electronics,5.0,34.5,0.05,Cash,Poland,Pending,163.875
138,2026-09-04,Wireless Mouse,Electronics,1.0,18.9,0.1,Cash,Germany,Refunded,17.009999999999998
139,2026-10-02,Coffee Beans,Food,1.0,13.5,0.05,Paypal,Czechia,Cancelled,12.825
140,2026-06-01,Desk Lamp,Office,1.0,27.8,0.05,Bank Transfer,Austria,Completed,26.41
141,2026-01-23,Wireless Mouse,Electronics,1.0,,0.0,Paypal,Poland,Refunded,
142,2026-04-21,T-Shirt,Clothing,2.0,19.99,0.05,Card,Germany,Refunded,37.980999999999995
143,2026-08-28,Water Bottle,Home,8.0,12.5,0.0,Paypal,Poland,Cancelled,100.0
144,2026-07-31,Sneakers,Clothing,4.0,,0.15,Cash,Czechia,Cancelled,
145,2026-01-29,Sneakers,Clothing,2.0,79.9,0.1,Bank Transfer,Slovakia,Pending,143.82000000000002
146,2026-07-13,Backpack,Accessories,2.0,39.9,0.05,Paypal,Poland,Completed,75.80999999999999
147,2026-01-11,Usb-C Cable,Electronics,4.0,9.9,0.2,Card,Czechia,Pending,31.680000000000003
148,2026-06-18,Mechanical Keyboard,Electronics,4.0,64.9,0.1,Paypal,Slovakia,Completed,233.64000000000001
149,2026-06-06,Coffee Beans,Food,5.0,13.5,0.0,Paypal,Slovakia,Pending,67.5
150,2026-01-10,Water Bottle,Home,3.0,12.5,0.0,Bank Transfer,Slovakia,Refunded,37.5
151,2026-01-29,Desk Lamp,Office,2.0,27.8,0.0,Card,Poland,Refunded,55.6
152,2026-02-13,Coffee Beans,Food,1.0,13.5,0.05,Cash,Germany,Pending,12.825
153,2026-03-24,Coffee Beans,Food,2.0,13.5,0.15,Cash,Slovakia,Pending,22.95
154,2026-01-23,Notebook,Office,2.0,4.2,0.1,Paypal,Slovakia,Completed,7.5600000000000005
155,2026-03-02,T-Shirt,Clothing,1.0,19.99,,Bank Transfer,Slovakia,Cancelled,
156,2026-04-05,Notebook,Office,8.0,4.2,0.1,Card,Czechia,Completed,30.240000000000002
157,2026-08-17,Backpack,Accessories,1.0,39.9,0.0,Cash,Germany,Refunded,39.9
158,2026-05-16,Mechanical Keyboard,Electronics,4.0,64.9,0.0,Card,Poland,Cancelled,259.6
159,2026-08-03,Water Bottle,Home,1.0,12.5,0.0,,Poland,Cancelled,12.5
160,2026-04-04,Mechanical Keyboard,Electronics,2.0,,0.05,Paypal,Germany,Completed,
161,2026-02-23,Sneakers,Clothing,1.0,79.9,0.0,Cash,Poland,Pending,79.9
162,2026-06-06,Hoodie,Clothing,2.0,,0.15,Cash,Poland,Cancelled,
163,2026-07-09,Laptop Stand,Electronics,3.0,,0.05,Paypal,Czechia,Cancelled,
164,2026-09-01,Sneakers,Clothing,3.0,79.9,0.0,Card,Poland,Refunded,239.70000000000002
165,2026-03-31,T-Shirt,Clothing,2.0,19.99,0.0,Bank Transfer,Austria,Cancelled,39.98
166,,Laptop Stand,Electronics,2.0,34.5,0.1,Card,Austria,Completed,62.1
167,2026-06-01,Coffee Beans,Food,1.0,13.5,0.1,Bank Transfer,Slovakia,Cancelled,12.15
168,2026-09-01,Wireless Mouse,Electronics,2.0,18.9,0.0,Paypal,Germany,Cancelled,37.8
169,2026-01-06,Wireless Mouse,Electronics,1.0,18.9,0.0,Paypal,Poland,Pending,18.9
170,2026-08-18,Mechanical Keyboard,Electronics,5.0,64.9,0.0,Paypal,Czechia,Refunded,324.5
171,2026-01-08,Mechanical Keyboard,Electronics,2.0,,0.1,Card,Slovakia,Refunded,
172,2026-08-01,Mechanical Keyboard,Electronics,2.0,64.9,0.0,Bank Transfer,Austria,Refunded,129.8
173,2026-07-29,Mechanical Keyboard,Electronics,1.0,64.9,0.05,Paypal,Slovakia,Cancelled,61.655
174,2026-08-02,Hoodie,Clothing,2.0,44.9,0.0,Paypal,Poland,Completed,89.8
175,2026-02-18,Coffee Beans,Food,1.0,13.5,0.0,Bank Transfer,Czechia,Refunded,13.5
176,2026-08-02,Water Bottle,Home,2.0,12.5,0.0,Bank Transfer,Poland,Refunded,25.0
177,2026-07-04,Mechanical Keyboard,Electronics,4.0,64.9,,Bank Transfer,Czechia,Cancelled,
178,2026-05-22,T-Shirt,Clothing,4.0,19.99,0.0,Cash,Slovakia,Refunded,79.96
179,2026-04-17,Laptop Stand,Electronics,2.0,34.5,0.1,Card,Slovakia,Pending,62.1
180,2026-09-06,Notebook,Office,1.0,4.2,0.0,Card,Austria,Cancelled,4.2
181,2026-02-16,Hoodie,Clothing,,44.9,0.15,Cash,Germany,Pending,
182,2026-11-03,Water Bottle,Home,1.0,12.5,0.0,Bank Transfer,Germany,Completed,12.5
183,2026-08-17,Wireless Mouse,Electronics,3.0,,0.0,Bank Transfer,Austria,Cancelled,
184,2026-01-06,Water Bottle,Home,2.0,12.5,0.15,Bank Transfer,Czechia,Refunded,21.25
185,2026-04-19,T-Shirt,Clothing,1.0,19.99,0.0,Bank Transfer,Czechia,Refunded,19.99
186,2026-10-03,Wireless Mouse,Electronics,4.0,18.9,0.15,Card,Austria,Refunded,64.25999999999999
187,2026-06-17,Usb-C Cable,Electronics,2.0,9.9,0.0,Cash,Poland,Completed,19.8
188,2026-04-12,Hoodie,Clothing,4.0,44.9,0.0,Paypal,Austria,Pending,179.6
189,2026-07-23,Sneakers,Clothing,1.0,79.9,0.0,Card,Germany,Cancelled,79.9
190,2026-01-02,Wireless Mouse,Electronics,1.0,18.9,0.15,Cash,Poland,Completed,16.064999999999998
191,2026-08-03,T-Shirt,Clothing,4.0,19.99,0.1,Card,Germany,Cancelled,71.964
192,2026-04-16,Wireless Mouse,Electronics,3.0,18.9,0.0,Bank Transfer,Austria,Refunded,56.699999999999996
193,2026-01-30,Desk Lamp,Office,2.0,27.8,0.1,Cash,Austria,Refunded,50.04
194,2026-01-22,T-Shirt,Clothing,4.0,19.99,0.15,Cash,Poland,Completed,67.966
195,2026-10-01,Notebook,Office,1.0,4.2,0.1,Cash,Slovakia,Refunded,3.7800000000000002
196,2026-06-13,Hoodie,Clothing,4.0,44.9,0.2,Paypal,Germany,Completed,143.68
197,2026-05-07,Coffee Beans,Food,3.0,,0.0,Cash,Austria,Pending,
198,,Backpack,Accessories,2.0,39.9,0.2,Paypal,Czechia,Refunded,63.84
199,2026-08-13,Wireless Mouse,Electronics,2.0,18.9,0.0,Bank Transfer,Poland,Completed,37.8
200,2026-02-14,Backpack,Accessories,1.0,39.9,0.05,Paypal,Czechia,Completed,37.904999999999994
201,2026-01-22,Backpack,Accessories,1.0,39.9,0.1,Paypal,Slovakia,Refunded,35.91
202,2026-08-28,T-Shirt,Clothing,1.0,19.99,0.15,Cash,Slovakia,Pending,16.9915
203,2026-06-29,Usb-C Cable,Electronics,1.0,9.9,0.0,Bank Transfer,Czechia,Pending,9.9
204,2026-08-19,Laptop Stand,Electronics,1.0,34.5,0.1,Cash,Germany,Refunded,31.05
205,2026-07-03,Sneakers,Clothing,2.0,79.9,0.0,Paypal,Poland,Pending,159.8
206,2026-05-18,Notebook,Office,2.0,4.2,0.0,Cash,Austria,Completed,8.4
207,2026-04-11,Laptop Stand,Electronics,4.0,34.5,0.0,Card,Poland,Refunded,138.0
208,2026-05-09,Notebook,Office,1.0,4.2,0.05,Card,Germany,Pending,3.9899999999999998
209,2026-01-22,Water Bottle,Home,1.0,12.5,0.0,Cash,Slovakia,Completed,12.5
210,2026-02-26,Notebook,Office,5.0,4.2,0.0,Card,,Refunded,21.0
211,2026-01-01,Water Bottle,Home,1.0,12.5,0.2,Card,Slovakia,Completed,10.0
212,2026-07-01,Water Bottle,Home,2.0,12.5,0.0,Paypal,Austria,Refunded,25.0
213,2026-07-08,Usb-C Cable,Electronics,1.0,,0.05,Paypal,Austria,Cancelled,
214,2026-05-10,Laptop Stand,Electronics,2.0,34.5,0.0,Card,Czechia,Pending,69.0
215,2026-05-29,Laptop Stand,Electronics,2.0,34.5,0.0,Bank Transfer,Slovakia,Completed,69.0
216,2026-08-01,Wireless Mouse,Electronics,5.0,18.9,0.0,Card,Slovakia,Refunded,94.5
217,2026-03-21,Water Bottle,Home,4.0,12.5,0.1,Card,Poland,Cancelled,45.0
218,2026-01-28,Water Bottle,Home,1.0,,0.2,Bank Transfer,Poland,Refunded,
219,2026-03-29,Usb-C Cable,Electronics,8.0,9.9,0.2,Bank Transfer,Czechia,Completed,63.36000000000001
220,2026-01-30,Desk Lamp,Office,2.0,27.8,0.1,Bank Transfer,Germany,Cancelled,50.04
221,2026-02-12,Water Bottle,Home,8.0,12.5,0.0,Bank Transfer,Austria,Completed,100.0
222,2026-01-24,Sneakers,Clothing,5.0,79.9,0.0,Paypal,,Cancelled,399.5
223,2026-02-20,Backpack,Accessories,2.0,,0.2,Paypal,Poland,Cancelled,
224,2026-08-15,Desk Lamp,Office,2.0,27.8,0.0,Cash,Austria,Refunded,55.6
225,2026-02-18,Laptop Stand,Electronics,2.0,34.5,0.1,Paypal,Germany,Pending,62.1
226,2026-04-06,Notebook,Office,5.0,4.2,0.1,Card,Poland,Pending,18.900000000000002
227,2026-04-26,Wireless Mouse,Electronics,1.0,18.9,0.15,Card,Poland,Cancelled,16.064999999999998
228,2026-04-18,Usb-C Cable,Electronics,2.0,9.9,0.0,Paypal,Slovakia,Completed,19.8
229,2026-04-18,Laptop Stand,Electronics,1.0,34.5,0.0,Cash,Poland,Pending,34.5
230,2026-08-05,Desk Lamp,Office,3.0,27.8,0.2,Paypal,Czechia,Pending,66.72000000000001
231,2026-03-17,Backpack,Accessories,8.0,39.9,0.0,Cash,Poland,Completed,319.2
232,2026-01-01,Notebook,Office,1.0,4.2,0.15,Cash,Poland,Completed,3.57
233,2026-07-19,Notebook,Office,1.0,4.2,0.0,Card,Poland,Completed,4.2
234,2026-07-22,Sneakers,Clothing,4.0,79.9,0.1,Bank Transfer,Czechia,Refunded,287.64000000000004
235,2026-08-26,T-Shirt,Clothing,3.0,19.99,,Paypal,Slovakia,Cancelled,
236,2026-04-04,Sneakers,Clothing,1.0,79.9,0.0,Paypal,Germany,Completed,79.9
237,2026-11-03,Sneakers,Clothing,5.0,79.9,0.15,Paypal,Slovakia,Refunded,339.575
238,2026-07-01,T-Shirt,Clothing,2.0,19.99,0.0,Bank Transfer,Germany,Pending,39.98
239,2026-07-15,Desk Lamp,Office,1.0,27.8,0.0,Cash,Slovakia,Refunded,27.8
240,2026-01-22,Water Bottle,Home,5.0,12.5,,Paypal,Austria,Refunded,
241,2026-05-04,Desk Lamp,Office,1.0,27.8,0.05,Paypal,Austria,Refunded,26.41
242,2026-07-07,T-Shirt,Clothing,1.0,19.99,0.15,Card,Austria,Completed,16.9915
243,2026-04-05,Backpack,Accessories,8.0,39.9,0.05,Paypal,Czechia,Completed,303.23999999999995
244,,Laptop Stand,Electronics,1.0,34.5,0.0,Cash,Poland,Refunded,34.5
245,2026-04-26,T-Shirt,Clothing,,19.99,0.2,Cash,Slovakia,Refunded,
246,2026-03-10,T-Shirt,Clothing,8.0,19.99,0.0,Paypal,Czechia,Refunded,159.92
247,2026-04-03,Water Bottle,Home,1.0,12.5,0.15,Paypal,Austria,Completed,10.625
248,2026-03-06,Water Bottle,Home,4.0,12.5,0.05,Bank Transfer,Slovakia,Refunded,47.5
249,2026-06-03,Hoodie,Clothing,5.0,44.9,0.0,Paypal,Slovakia,Refunded,224.5
250,2026-07-27,Sneakers,Clothing,1.0,79.9,,Paypal,Poland,Completed,
18,2026-07-04,Laptop Stand,Electronics,8.0,34.5,0.0,Card,Slovakia,Completed,276.0
84,2026-07-25,Wireless Mouse,Electronics,2.0,18.9,0.2,Cash,Germany,Pending,30.24
167,2026-06-01,Coffee Beans,Food,1.0,13.5,0.1,Bank Transfer,Slovakia,Cancelled,12.15
212,2026-07-01,Water Bottle,Home,2.0,12.5,0.0,Paypal,Austria,Refunded,25.0
231,2026-03-17,Backpack,Accessories,8.0,39.9,0.0,Cash,Poland,Completed,319.2
